"Uptime (ms)","Used PS Old Gen","Used PS Survivor Space","Used PS Eden Space","Allocated All Pools"
"214400","357525504","0","59232256","477102080"
"215500","39882752","40120320","50535424","477626368"
"216500","101611520","50818048","1144832","476577792"
"217600","158385152","40468480","1202176","477102080"
"218600","196461568","48783360","1175552","477102080"
"219700","267110400","21561344","1201152","477102080"
"220700","323971072","46469120","1163264","477102080"
"222700","339829760","0","1196032","477102080"
"223800","50284544","33533952","1311744","277872640"
"224700","101967872","47302656","1202176","276824064"
"226400","156850176","21042176","1303552","415760384"
"227500","213587968","40022016","1198080","414187520"
"228500","282583040","48917504","1427456","420478976"
"229500","162996224","15497216","1228800","408420352"
"230500","254523392","6684672","1507328","415760384"
"231500","131753984","8537088","74680320","406847488"
"232500","242447360","3735552","1776640","404750336"
"233600","144535552","0","2112512","427294720"
"234600","241921024","10602496","1501184","411566080"
"235700","124827648","10470400","18456576","412614656"
"236700","235472896","4292608","75581440","403177472"
"237700","130322432","17048576","61696000","422576128"
"238700","243530752","4915200","65987584","412614656"
"239700","129474560","11551744","2478080","421003264"
"240700","222733312","11225088","1905664","403701760"
"242200","143291392","0","2314240","436731904"
"243200","215745536","6750208","70716416","425197568"
"244700","147607552","0","2297856","452460544"
"245700","255859712","4751360","93474816","446693376"
"246900","149250048","0","2520064","469762048"
"247900","231256064","4096000","29199360","450363392"
"249700","151602176","0","2412544","451411968"
"250700","256675840","4685824","2129920","465043456"
"251900","151767040","0","2504704","480247808"
"252900","261502976","5013504","2153472","470286336"
"254200","156790784","0","2528256","488636416"
"255200","268298240","5079040","2207744","481296384"
"256500","162212864","0","2564096","497025024"
"257500","278791168","5079040","2237440","488636416"
"258900","166907904","0","2497536","501743616"
"259900","277522432","4915200","2144256","493355008"
"261200","165781504","0","2535424","502792192"
"262200","275109888","4456448","70581248","489160704"
"263600","172119040","0","2507776","506986496"
"264600","280521728","4554752","69340160","495976448"
"265900","167890944","0","2526208","507510784"
"266900","280537088","4849664","2115584","498073600"
"268300","173106176","0","2618368","510656512"
"269300","282270720","4194304","68726784","494403584"
"270600","165781504","0","2480128","506462208"
"271600","249458688","4161536","73364480","494927872"
"273500","176861184","0","2598912","510132224"
"274500","284077056","4489216","66023424","495976448"
"275800","165124096","0","2489344","507510784"
"276900","279654400","4816896","2150400","498597888"
"278300","174626816","0","2581504","509607936"
"279300","286281728","4653056","2029568","496500736"
"280600","164416512","0","2459648","506462208"
"281600","274957312","5079040","2227200","502267904"
"283100","174515200","0","2480128","506462208"
"284200","250583040","13893632","2068480","497025024"
"285700","164655104","0","2407424","505413632"
"286800","281325568","5046272","2211840","500695040"
"288100","167211008","0","2578432","509083648"
"289100","279988224","4784128","77410304","497549312"
"290500","172941312","0","2628608","510132224"
"291500","282114048","4685824","73674752","495976448"
"292900","168218624","0","2583552","508559360"
"293900","281241600","4653056","68909056","499646464"
"295300","173104128","0","2596864","510132224"
"296300","282334208","4620288","73878528","497025024"
"297700","168947712","0","2546688","509083648"
"298700","284944384","5013504","2188288","471859200"
"300000","169628672","0","2438144","506462208"
"301000","281095168","4849664","2121728","498597888"
"302400","172354560","0","2636800","511180800"
"303400","281650176","4227072","1951744","494927872"
"304900","170992640","0","2596864","508559360"
"305900","280083456","4325376","1993728","495452160"
"307300","171509760","0","2592768","507510784"
"308300","284844032","4554752","1990656","494927872"
"309700","171509760","0","2588672","507510784"
"310700","280494080","4653056","2036736","495976448"
"312100","168223744","0","2598912","510132224"
"313100","280820736","4554752","2070528","497549312"
"314400","170969088","0","2531328","508559360"
"315500","287580160","4751360","2120704","495976448"
"316800","170734592","0","2579456","509607936"
"322000","170734592","0","20660224","509607936"
"323000","224781312","6651904","75752448","518520832"
"324000","289504256","6782976","44798976","512753664"
"326100","164232192","0","2883584","516947968"
"327100","276225024","6619136","66489344","519569408"
"328600","168130560","0","2837504","515899392"
"329600","276838400","6291456","2764800","516423680"
"331200","162589696","0","2772992","514326528"
"332200","257723392","12961792","2652160","513277952"
"333900","174814208","0","2791424","515899392"
"334900","296098816","6193152","2726912","514850816"
"336100","157379584","0","2729984","501219328"
"337100","270738432","5406720","2419712","506462208"
"338600","184210432","0","2722816","512753664"
"339700","303873024","6225920","2732032","514326528"
"340700","149490688","0","72670208","511705088"
"341700","270063616","5570560","2436096","503316480"
"343200","183217152","0","2767872","514850816"
"344200","296731648","5472256","2417664","506986496"
"345400","155266048","0","2548736","508559360"
"346400","274136064","5472256","2478080","507510784"
"347900","182332416","0","2708480","512753664"
"349000","295986176","5439488","2422784","506462208"
"350100","155524096","0","2530304","510132224"
"351100","268732416","5439488","2424832","508035072"
"352700","180728832","0","2693120","511705088"
"353700","294831104","5373952","74395648","503840768"
"354800","152398848","0","2526208","509607936"
"355800","261571584","4947968","77371392","500170752"
"357600","189868032","0","2788352","515375104"
"358600","291749888","5406720","65825792","504889344"
"359800","149020672","0","2496512","505937920"
"360800","254889984","5046272","2235392","497549312"
"362600","183266304","0","2777088","513277952"
"363600","291857408","5406720","2412544","507510784"
"364800","155952128","0","2525184","509083648"
"365800","269127680","5537792","2425856","505937920"
"367400","183153664","0","2731008","513802240"
"368500","290565120","5505024","2413568","506986496"
"369600","154913792","0","2527232","489684992"
"370700","268130304","5439488","73207808","506462208"
"372300","182097920","0","2762752","513277952"
"373300","290541568","5439488","2418688","507510784"
"374500","155640832","0","2532352","509607936"
"375600","268612608","5341184","71921664","503840768"
"377100","180218880","0","2664448","511705088"
"378100","291054592","5144576","2251776","502267904"
"379300","156650496","0","2526208","510132224"
"380300","274847744","5701632","2490368","508559360"
"381900","182684672","0","2793472","514850816"
"382900","290989056","5439488","2435072","508035072"
"384100","155641856","0","2523136","509083648"
"385100","264532992","5472256","72736768","508035072"
"386800","181933056","0","2659328","512229376"
"387800","293440512","5341184","2330624","503840768"
"389000","158646272","0","2575360","492830720"
"390000","268023808","5046272","2197504","499646464"
"391700","184043520","0","2758656","514326528"
"392700","297656320","5537792","2430976","507510784"
"393800","155641856","0","2530304","509083648"
"394800","273741824","5505024","2459648","508035072"
"396300","181206016","0","2700288","512753664"
"397400","290132992","5439488","2373632","505413632"
